match,market,question,prob,outcome,brier,source,tier,score
Uzbekistan vs Colombia,Correct Score,Will the score be Uzbekistan 1-1 Colombia?,0.0947,0,0.009,poisson,,1-3
Uzbekistan vs Colombia,Correct Score,Will the score be Uzbekistan 1-2 Colombia?,0.0914,0,0.0084,poisson,,1-3
Uzbekistan vs Colombia,Double Chance,Colombia or Draw (X2),0.8952,1,0.011,sharp,,1-3
Uzbekistan vs Colombia,Double Chance,Uzbekistan or Colombia (12),0.797,1,0.0412,sharp,,1-3
Uzbekistan vs Colombia,Double Chance,Uzbekistan or Draw (1X),0.3078,0,0.0947,sharp,,1-3
Uzbekistan vs Colombia,First To Score,Will there be no goals (0-0)?,0.0744,0,0.0055,poisson,,1-3
Uzbekistan vs Colombia,Handicap,Will Colombia avoid losing by 2+ (+1.5)?,0.97,1,0.0009,poisson,,1-3
Uzbekistan vs Colombia,Handicap,Will Colombia win by 2+ goals?,0.4406,1,0.3129,poisson,,1-3
Uzbekistan vs Colombia,Handicap,Will Uzbekistan avoid losing by 2+ (+1.5)?,0.5594,0,0.3129,poisson,,1-3
Uzbekistan vs Colombia,Handicap,Will Uzbekistan win by 2+ goals?,0.03,0,0.0009,poisson,,1-3
Uzbekistan vs Colombia,Handicap,Will Uzbekistan win by 3+ goals?,0.03,0,0.0009,poisson,,1-3
Uzbekistan vs Colombia,Moneyline,Will Colombia win the match?,0.6922,1,0.0947,sharp,,1-3
Uzbekistan vs Colombia,Moneyline,Will Uzbekistan win the match?,0.1048,0,0.011,sharp,,1-3
Uzbekistan vs Colombia,Moneyline,Will the match end in a draw?,0.203,0,0.0412,sharp,,1-3
Uzbekistan vs Colombia,Team Total,Will Colombia score over 0.5?,0.8656,1,0.0181,poisson,,1-3
Uzbekistan vs Colombia,Team Total,Will Colombia score over 1.5?,0.5959,1,0.1633,poisson,,1-3
Uzbekistan vs Colombia,Team Total,Will Uzbekistan score over 0.5?,0.4734,1,0.2773,poisson,,1-3
Uzbekistan vs Colombia,Team Total,Will Uzbekistan score over 1.5?,0.1357,0,0.0184,poisson,,1-3
Uzbekistan vs Colombia,Total Goals,Will total goals be over 1.5?,0.7455,1,0.0648,poisson,,1-3
Uzbekistan vs Colombia,Total Goals,Will total goals be over 2.5?,0.4937,1,0.2563,poisson,,1-3
Uzbekistan vs Colombia,Total Goals,Will total goals be over 3.5?,0.2746,1,0.5262,poisson,,1-3
Uzbekistan vs Colombia,Total Goals O/E,Will the total goals be even?,0.5098,1,0.2403,poisson,,1-3
Uzbekistan vs Colombia,Total Goals O/E,Will the total goals be odd?,0.4902,0,0.2403,poisson,,1-3
Czech Republic vs South Africa,BTTS,Will NOT both teams score?,0.4929,0,0.243,poisson,,1-1
Czech Republic vs South Africa,BTTS,Will both teams score?,0.5071,1,0.243,poisson,,1-1
Czech Republic vs South Africa,Correct Score,Will the score be Czech Republic 0-0 South Africa?,0.0753,0,0.0057,poisson,,1-1
Czech Republic vs South Africa,Correct Score,Will the score be Czech Republic 0-1 South Africa?,0.0631,0,0.004,poisson,,1-1
Czech Republic vs South Africa,Correct Score,Will the score be Czech Republic 1-0 South Africa?,0.1151,0,0.0132,poisson,,1-1
Czech Republic vs South Africa,Correct Score,Will the score be Czech Republic 1-1 South Africa?,0.1191,1,0.776,poisson,,1-1
Czech Republic vs South Africa,Correct Score,Will the score be Czech Republic 2-0 South Africa?,0.1013,0,0.0103,poisson,,1-1
Czech Republic vs South Africa,Correct Score,Will the score be Czech Republic 2-1 South Africa?,0.0969,0,0.0094,poisson,,1-1
Czech Republic vs South Africa,Double Chance,Czech Republic or Draw (1X),0.792,1,0.0433,sharp,,1-1
Czech Republic vs South Africa,Double Chance,Czech Republic or South Africa (12),0.75,0,0.5625,sharp,,1-1
Czech Republic vs South Africa,Double Chance,South Africa or Draw (X2),0.4579,1,0.2939,sharp,,1-1
Czech Republic vs South Africa,First To Score,Will there be no goals (0-0)?,0.0753,0,0.0057,poisson,,1-1
Czech Republic vs South Africa,Handicap,Will Czech Republic avoid losing by 2+ (+1.5)?,0.9269,1,0.0053,poisson,,1-1
Czech Republic vs South Africa,Handicap,Will Czech Republic win by 2+ goals?,0.3001,0,0.0901,poisson,,1-1
Czech Republic vs South Africa,Handicap,Will Czech Republic win by 3+ goals?,0.1319,0,0.0174,poisson,,1-1
Czech Republic vs South Africa,Handicap,Will South Africa avoid losing by 2+ (+1.5)?,0.6999,1,0.0901,poisson,,1-1
Czech Republic vs South Africa,Handicap,Will South Africa win by 2+ goals?,0.0731,0,0.0053,poisson,,1-1
Czech Republic vs South Africa,Moneyline,Will Czech Republic win the match?,0.5421,0,0.2939,sharp,,1-1
Czech Republic vs South Africa,Moneyline,Will South Africa win the match?,0.208,0,0.0433,sharp,,1-1
Czech Republic vs South Africa,Moneyline,Will the match end in a draw?,0.25,1,0.5625,sharp,,1-1
Czech Republic vs South Africa,Team Total,Will Czech Republic score over 0.5?,0.8159,1,0.0339,poisson,,1-1
Czech Republic vs South Africa,Team Total,Will Czech Republic score over 1.5?,0.5043,0,0.2543,poisson,,1-1
Czech Republic vs South Africa,Team Total,Will South Africa score over 0.5?,0.6159,1,0.1475,poisson,,1-1
Czech Republic vs South Africa,Team Total,Will South Africa score over 1.5?,0.2484,0,0.0617,poisson,,1-1
Czech Republic vs South Africa,Total Goals,Will total goals be over 1.5?,0.7465,1,0.0643,poisson,,1-1
Czech Republic vs South Africa,Total Goals,Will total goals be over 2.5?,0.4938,0,0.2438,poisson,,1-1
Czech Republic vs South Africa,Total Goals,Will total goals be over 3.5?,0.2747,0,0.0755,poisson,,1-1
Czech Republic vs South Africa,Total Goals O/E,Will the total goals be even?,0.5117,1,0.2384,poisson,,1-1
Czech Republic vs South Africa,Total Goals O/E,Will the total goals be odd?,0.4883,0,0.2384,poisson,,1-1
Canada vs Qatar,BTTS,Will NOT both teams score?,0.5556,1,0.1975,poisson,,6-0
Canada vs Qatar,BTTS,Will both teams score?,0.4444,0,0.1975,poisson,,6-0
Canada vs Qatar,Correct Score,Will the score be Canada 1-0 Qatar?,0.116,0,0.0135,poisson,,6-0
Canada vs Qatar,Correct Score,Will the score be Canada 1-1 Qatar?,0.084,0,0.0071,poisson,,6-0
Canada vs Qatar,Correct Score,Will the score be Canada 2-0 Qatar?,0.1352,0,0.0183,poisson,,6-0
Canada vs Qatar,Correct Score,Will the score be Canada 2-1 Qatar?,0.0916,0,0.0084,poisson,,6-0
Canada vs Qatar,Correct Score,Will the score be Canada 3-0 Qatar?,0.1023,0,0.0105,poisson,,6-0
Canada vs Qatar,Correct Score,Will the score be Canada 3-1 Qatar?,0.0693,0,0.0048,poisson,,6-0
Canada vs Qatar,Double Chance,Canada or Draw (1X),0.9081,1,0.0084,sharp,,6-0
Canada vs Qatar,Double Chance,Canada or Qatar (12),0.8234,1,0.0312,sharp,,6-0
Canada vs Qatar,Double Chance,Qatar or Draw (X2),0.2685,0,0.0721,sharp,,6-0
Canada vs Qatar,First To Score,Will there be no goals (0-0)?,0.0558,0,0.0031,poisson,,6-0
Norway vs Senegal,Correct Score,Will the score be Norway 3-0 Senegal?,0.1511,0,0.0228,poisson,,3-2
Norway vs Senegal,Correct Score,Will the score be Norway 3-1 Senegal?,0.0577,0,0.0033,poisson,,3-2
Norway vs Senegal,Correct Score,Will the score be Norway 4-0 Senegal?,0.1238,0,0.0153,poisson,,3-2
Norway vs Senegal,Correct Score,Will the score be Norway 5-0 Senegal?,0.0811,0,0.0066,poisson,,3-2
Jordan vs Algeria,Correct Score,Will the score be Jordan 1-3 Algeria?,0.0665,0,0.0044,poisson,,1-2
Portugal vs Uzbekistan,Correct Score,Will the score be Portugal 4-0 Uzbekistan?,0.0866,0,0.0075,poisson,,5-0
Portugal vs Uzbekistan,Correct Score,Will the score be Portugal 5-0 Uzbekistan?,0.1627,1,0.7011,poisson,,5-0
Portugal vs Uzbekistan,Correct Score,Will the score be Portugal 6-0 Uzbekistan?,0.1221,0,0.0149,poisson,,5-0
Portugal vs Uzbekistan,Correct Score,Will the score be Portugal 7-0 Uzbekistan?,0.0785,0,0.0062,poisson,,5-0
England vs Ghana,BTTS,Will NOT both teams score?,0.5577,1,0.1956,poisson,,0-0
England vs Ghana,BTTS,Will both teams score?,0.4423,0,0.1956,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 1-0 Ghana?,0.0861,0,0.0074,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 2-0 Ghana?,0.1255,0,0.0158,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 2-1 Ghana?,0.079,0,0.0062,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 3-0 Ghana?,0.1188,0,0.0141,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 3-1 Ghana?,0.0748,0,0.0056,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 4-0 Ghana?,0.0844,0,0.0071,poisson,,0-0
England vs Ghana,Double Chance,England or Draw (1X),0.946,1,0.0029,sharp,,0-0
England vs Ghana,Double Chance,England or Ghana (12),0.8784,0,0.7716,sharp,,0-0
England vs Ghana,Double Chance,Ghana or Draw (X2),0.1756,1,0.6796,sharp,,0-0
England vs Ghana,First To Score,Will there be no goals (0-0)?,0.0333,1,0.9345,poisson,,0-0
England vs Ghana,Handicap,Will England avoid losing by 2+ (+1.5)?,0.97,1,0.0009,poisson,,0-0
England vs Ghana,Handicap,Will England win by 2+ goals?,0.6318,0,0.3992,poisson,,0-0
England vs Ghana,Handicap,Will England win by 3+ goals?,0.4126,0,0.1702,poisson,,0-0
England vs Ghana,Handicap,Will Ghana avoid losing by 2+ (+1.5)?,0.3682,1,0.3992,poisson,,0-0
England vs Ghana,Handicap,Will Ghana win by 2+ goals?,0.03,0,0.0009,poisson,,0-0
England vs Ghana,Moneyline,Will England win the match?,0.8244,0,0.6796,sharp,,0-0
England vs Ghana,Moneyline,Will Ghana win the match?,0.054,0,0.0029,sharp,,0-0
England vs Ghana,Moneyline,Will the match end in a draw?,0.1216,1,0.7716,sharp,,0-0
England vs Ghana,Team Total,Will England score over 0.5?,0.9416,0,0.8866,poisson,,0-0
England vs Ghana,Team Total,Will England score over 1.5?,0.7758,0,0.6019,poisson,,0-0
England vs Ghana,Team Total,Will Ghana score over 0.5?,0.4673,0,0.2184,poisson,,0-0
England vs Ghana,Team Total,Will Ghana score over 1.5?,0.1318,0,0.0174,poisson,,0-0
England vs Ghana,Total Goals,Will total goals be over 1.5?,0.8632,0,0.7451,poisson,,0-0
England vs Ghana,Total Goals,Will total goals be over 2.5?,0.6738,0,0.454,poisson,,0-0
England vs Ghana,Total Goals,Will total goals be over 3.5?,0.4571,0,0.2089,poisson,,0-0
England vs Ghana,Total Goals O/E,Will the total goals be even?,0.5049,1,0.2451,poisson,,0-0
England vs Ghana,Total Goals O/E,Will the total goals be odd?,0.4951,0,0.2451,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 0-0 Ghana?,0.2044,1,0.633,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 0-1 Ghana?,0.0523,0,0.0027,poisson,,0-0
England vs Ghana,Correct Score,Will the score be England 1-1 Ghana?,0.0763,0,0.0058,poisson,,0-0
Panama vs Croatia,BTTS,Will NOT both teams score?,0.5556,1,0.1975,poisson,,0-1
Panama vs Croatia,BTTS,Will both teams score?,0.4444,0,0.1975,poisson,,0-1
Panama vs Croatia,Correct Score,Will the score be Panama 0-0 Croatia?,0.0689,0,0.0047,poisson,,0-1
Panama vs Croatia,Correct Score,Will the score be Panama 0-1 Croatia?,0.128,1,0.7604,poisson,,0-1
Panama vs Croatia,Correct Score,Will the score be Panama 0-2 Croatia?,0.1332,0,0.0177,poisson,,0-1
Panama vs Croatia,Correct Score,Will the score be Panama 0-3 Croatia?,0.0897,0,0.008,poisson,,0-1
Panama vs Croatia,Correct Score,Will the score be Panama 1-1 Croatia?,0.0972,0,0.0094,poisson,,0-1
Panama vs Croatia,Correct Score,Will the score be Panama 1-2 Croatia?,0.0944,0,0.0089,poisson,,0-1
Panama vs Croatia,Double Chance,Croatia or Draw (X2),0.8831,1,0.0137,sharp,,0-1
Panama vs Croatia,Double Chance,Panama or Croatia (12),0.7946,1,0.0422,sharp,,0-1
Panama vs Croatia,Double Chance,Panama or Draw (1X),0.3223,0,0.1039,sharp,,0-1
Panama vs Croatia,First To Score,Will there be no goals (0-0)?,0.0689,0,0.0047,poisson,,0-1
Panama vs Croatia,Handicap,Will Croatia avoid losing by 2+ (+1.5)?,0.9677,1,0.001,poisson,,0-1
Panama vs Croatia,Handicap,Will Croatia win by 2+ goals?,0.4298,0,0.1847,poisson,,0-1
Panama vs Croatia,Handicap,Will Panama avoid losing by 2+ (+1.5)?,0.5702,1,0.1847,poisson,,0-1
Panama vs Croatia,Handicap,Will Panama win by 2+ goals?,0.0323,0,0.001,poisson,,0-1
Panama vs Croatia,Handicap,Will Panama win by 3+ goals?,0.03,0,0.0009,poisson,,0-1
Panama vs Croatia,Moneyline,Will Croatia win the match?,0.6777,1,0.1039,sharp,,0-1
Panama vs Croatia,Moneyline,Will Panama win the match?,0.1169,0,0.0137,sharp,,0-1
Panama vs Croatia,Moneyline,Will the match end in a draw?,0.2054,0,0.0422,sharp,,0-1
Panama vs Croatia,Team Total,Will Croatia score over 0.5?,0.8675,1,0.0176,poisson,,0-1
Panama vs Croatia,Team Total,Will Croatia score over 1.5?,0.5997,0,0.3596,poisson,,0-1
Panama vs Croatia,Team Total,Will Panama score over 0.5?,0.508,0,0.2581,poisson,,0-1
Panama vs Croatia,Team Total,Will Panama score over 1.5?,0.159,0,0.0253,poisson,,0-1
Panama vs Croatia,Total Goals,Will total goals be over 1.5?,0.7606,0,0.5785,poisson,,0-1
Panama vs Croatia,Total Goals,Will total goals be over 2.5?,0.5138,0,0.264,poisson,,0-1
Panama vs Croatia,Total Goals,Will total goals be over 3.5?,0.2926,0,0.0856,poisson,,0-1
Panama vs Croatia,Total Goals O/E,Will the total goals be even?,0.5096,0,0.2597,poisson,,0-1
Panama vs Croatia,Total Goals O/E,Will the total goals be odd?,0.4904,1,0.2597,poisson,,0-1
Panama vs Croatia,Correct Score,Will the score be Panama 1-0 Croatia?,0.074,0,0.0055,poisson,,0-1
Panama vs Croatia,Correct Score,Will the score be Panama 0-4 Croatia?,0.0772,0,0.006,poisson,,0-1
Colombia vs DR Congo,BTTS,Will NOT both teams score?,0.6047,1,0.1563,poisson,,1-0
Colombia vs DR Congo,BTTS,Will both teams score?,0.3953,0,0.1563,poisson,,1-0
Colombia vs DR Congo,Correct Score,Will the score be Colombia 0-0 DR Congo?,0.097,0,0.0094,poisson,,1-0
Colombia vs DR Congo,Correct Score,Will the score be Colombia 1-0 DR Congo?,0.1567,1,0.7112,poisson,,1-0
Colombia vs DR Congo,Correct Score,Will the score be Colombia 1-1 DR Congo?,0.1078,0,0.0116,poisson,,1-0
Colombia vs DR Congo,Correct Score,Will the score be Colombia 2-0 DR Congo?,0.1393,0,0.0194,poisson,,1-0
Colombia vs DR Congo,Correct Score,Will the score be Colombia 2-1 DR Congo?,0.0898,0,0.0081,poisson,,1-0
Colombia vs DR Congo,Correct Score,Will the score be Colombia 3-0 DR Congo?,0.0804,0,0.0065,poisson,,1-0
Colombia vs DR Congo,Double Chance,Colombia or DR Congo (12),0.7624,1,0.0565,sharp,,1-0
Colombia vs DR Congo,Double Chance,Colombia or Draw (1X),0.8701,1,0.0169,sharp,,1-0
Colombia vs DR Congo,Double Chance,DR Congo or Draw (X2),0.3675,0,0.1351,sharp,,1-0
Colombia vs DR Congo,First To Score,Will there be no goals (0-0)?,0.097,0,0.0094,poisson,,1-0
Colombia vs DR Congo,Handicap,Will Colombia avoid losing by 2+ (+1.5)?,0.9661,1,0.0011,poisson,,1-0
Colombia vs DR Congo,Handicap,Will Colombia win by 2+ goals?,0.3677,0,0.1352,poisson,,1-0
Colombia vs DR Congo,Handicap,Will Colombia win by 3+ goals?,0.1688,0,0.0285,poisson,,1-0
Colombia vs DR Congo,Handicap,Will DR Congo avoid losing by 2+ (+1.5)?,0.6323,1,0.1352,poisson,,1-0
Colombia vs DR Congo,Handicap,Will DR Congo win by 2+ goals?,0.0339,0,0.0011,poisson,,1-0
Colombia vs DR Congo,Moneyline,Will Colombia win the match?,0.6325,1,0.1351,sharp,,1-0
Colombia vs DR Congo,Moneyline,Will DR Congo win the match?,0.1299,0,0.0169,sharp,,1-0
Colombia vs DR Congo,Moneyline,Will the match end in a draw?,0.2376,0,0.0565,sharp,,1-0
Colombia vs DR Congo,Team Total,Will Colombia score over 0.5?,0.8231,1,0.0313,poisson,,1-0
Colombia vs DR Congo,Team Total,Will Colombia score over 1.5?,0.5167,0,0.267,poisson,,1-0
Colombia vs DR Congo,Team Total,Will DR Congo score over 0.5?,0.4752,0,0.2258,poisson,,1-0
Colombia vs DR Congo,Team Total,Will DR Congo score over 1.5?,0.1368,0,0.0187,poisson,,1-0
Colombia vs DR Congo,Total Goals,Will total goals be over 1.5?,0.6907,0,0.4771,poisson,,1-0
Colombia vs DR Congo,Total Goals,Will total goals be over 2.5?,0.4243,0,0.18,poisson,,1-0
Colombia vs DR Congo,Total Goals,Will total goals be over 3.5?,0.2165,0,0.0469,poisson,,1-0
Colombia vs DR Congo,Total Goals O/E,Will the total goals be even?,0.5126,0,0.2628,poisson,,1-0
Colombia vs DR Congo,Total Goals O/E,Will the total goals be odd?,0.4874,1,0.2628,poisson,,1-0
Colombia vs DR Congo,Correct Score,Will the score be Colombia 0-1 DR Congo?,0.0711,0,0.0051,poisson,,1-0
