team,rating,n_matches,last_played
Spain,1926.6,783,2026-06-08
Morocco,1897.2,617,2026-06-07
Argentina,1871.8,1069,2026-06-09
England,1853.78,1090,2026-06-10
France,1847.05,935,2026-06-08
Japan,1844.28,790,2026-05-31
Algeria,1823.0,617,2026-06-10
Nigeria,1820.88,661,2026-06-10
Brazil,1810.69,1059,2026-06-06
Senegal,1800.42,638,2026-06-09
Iran,1800.29,612,2026-06-04
Portugal,1799.97,695,2026-06-10
Mexico,1788.94,1003,2026-06-04
Germany,1788.75,1031,2026-06-06
Colombia,1785.67,638,2026-06-07
Norway,1780.45,872,2026-06-07
Ivory Coast,1778.32,636,2026-06-04
Netherlands,1777.75,879,2026-06-08
Australia,1772.38,581,2026-06-06
Turkey,1767.29,642,2026-06-06
Belgium,1762.09,853,2026-06-06
South Korea,1756.1,1007,2026-06-03
Ecuador,1753.44,591,2026-06-07
Switzerland,1752.82,884,2026-06-06
Egypt,1740.7,756,2026-06-06
Canada,1728.36,469,2026-06-05
Croatia,1724.21,396,2026-06-07
Uzbekistan,1713.91,354,2026-06-08
Denmark,1710.34,874,2026-06-07
Italy,1708.45,893,2026-06-07
Panama,1705.44,539,2026-06-06
Russia,1703.31,749,2026-06-09
DR Congo,1702.6,524,2026-06-09
Austria,1701.81,860,2026-06-01
Uruguay,1696.19,970,2026-03-31
Jordan,1679.77,485,2026-06-07
Cameroon,1675.49,616,2026-03-31
United States,1665.55,790,2026-06-06
Tunisia,1663.64,678,2026-06-06
Iraq,1663.04,655,2026-06-09
Scotland,1656.68,851,2026-06-06
Mali,1654.42,569,2026-06-04
Haiti,1653.3,510,2026-06-05
Paraguay,1651.75,783,2026-06-05
Jersey,1649.1,235,2025-07-18
Czech Republic,1633.7,360,2026-06-04
Saudi Arabia,1626.71,741,2026-06-09
Kosovo,1623.73,104,2026-06-07
Costa Rica,1622.34,724,2026-06-10
South Africa,1621.94,480,2026-06-06
Ukraine,1617.32,338,2026-06-07
United Arab Emirates,1616.3,612,2025-12-15
Burkina Faso,1614.71,464,2026-06-09
Isle of Man,1613.49,58,2025-07-18
Honduras,1613.04,620,2026-06-06
Jamaica,1612.14,663,2026-06-06
Republic of Ireland,1607.63,633,2026-06-05
Thailand,1603.41,865,2026-06-09
Tamil Eelam,1596.97,28,2025-07-04
Sweden,1595.87,1101,2026-06-04
New Caledonia,1592.79,265,2026-03-26
New Zealand,1591.88,416,2026-06-06
Curaçao,1590.86,385,2026-06-06
Poland,1588.64,892,2026-06-03
Syria,1584.05,484,2026-06-05
Guernsey,1581.33,240,2023-07-13
Cape Verde,1581.23,235,2026-06-06
Greece,1579.46,633,2026-06-07
Ghana,1578.01,671,2026-06-02
Ynys Môn,1577.7,67,2025-07-17
Serbia,1576.33,348,2026-06-04
Venezuela,1575.04,460,2026-06-09
Czechoslovakia,1573.86,520,1993-11-17
Hungary,1572.42,1006,2026-06-09
Malaysia,1571.89,835,2025-11-18
Yugoslavia,1570.63,483,1992-03-25
Chile,1566.25,835,2026-06-09
Vietnam,1564.81,297,2026-03-26
Guyana,1563.97,313,2026-03-30
Wales,1558.06,726,2026-06-06
Guatemala,1555.04,554,2026-06-07
Angola,1554.85,415,2026-06-09
Suriname,1551.06,399,2026-03-26
Tahiti,1550.24,242,2025-03-21
Slovakia,1548.62,367,2026-06-05
Palestine,1547.11,249,2026-06-09
Basque Country,1545.85,64,2025-11-15
German DR,1544.44,298,1990-09-12
Israel,1543.65,498,2026-06-03
China,1543.13,702,2026-06-09
Guadeloupe,1542.63,271,2025-06-24
Guinea,1542.46,539,2026-06-04
Padania,1539.94,45,2019-06-08
Isle of Wight,1539.7,48,2023-07-13
Romania,1537.36,766,2026-06-06
Slovenia,1536.21,317,2026-06-07
Oman,1534.99,543,2026-06-05
Georgia,1532.67,307,2026-06-05
Bosnia and Herzegovina,1530.98,283,2026-06-06
Northern Cyprus,1528.18,34,2018-06-09
Libya,1527.97,384,2026-03-31
Gambia,1526.07,266,2026-05-29
Madagascar,1525.81,320,2026-06-02
Abkhazia,1523.28,33,2019-06-08
Dominican Republic,1522.8,159,2026-06-03
Tajikistan,1522.52,201,2026-06-09
Lebanon,1522.31,333,2025-11-26
Indonesia,1520.39,728,2026-06-09
Kárpátalja,1515.24,11,2018-06-09
Occitania,1514.61,33,2014-12-30
Chameria,1513.63,7,2023-07-01
Kernow,1513.58,12,2023-07-16
Maule Sur,1512.95,2,2022-06-19
Elba Island,1512.45,2,2022-07-16
Panjab,1512.28,19,2019-12-29
Iraqi Kurdistan,1512.19,27,2016-06-04
Székely Land,1511.37,27,2023-07-02
Yorkshire,1510.81,7,2019-06-01
Réunion,1510.14,124,2023-09-02
Raetia,1509.9,26,2023-08-06
Ellan Vannin,1508.84,22,2018-06-03
Shetland,1508.82,58,2025-07-17
Qatar,1508.74,635,2026-06-06
Philippines,1508.64,342,2026-06-09
Uganda,1508.64,685,2025-12-30
Northern Ireland,1508.51,707,2026-06-08
Zambia,1508.08,793,2026-03-31
Cascadia,1507.01,7,2019-05-25
Biafra,1506.65,3,2022-05-25
Rhodes,1506.23,18,2011-06-27
Artsakh,1505.56,11,2019-06-08
Orkney,1504.76,28,2025-07-17
County of Nice,1504.48,9,2015-06-21
Kurdistan,1504.33,5,2013-06-28
Andalusia,1504.22,13,2013-06-07
Parishes of Jersey,1504.11,3,2019-06-02
Quebec,1503.71,3,2013-06-27
Mapuche,1503.51,2,2022-06-18
Western Armenia,1502.91,16,2019-06-09
Surrey,1502.6,1,2018-05-06
Corsica,1502.18,9,2017-05-26
Benin,1502.1,325,2026-06-09
Arameans Suryoye,1501.99,10,2014-06-08
Vietnam Republic,1501.68,195,1975-03-23
Franconia,1501.17,3,2019-06-25
Donetsk PR,1501.11,6,2017-08-31
Asturias,1501.0,1,1923-02-25
Brittany,1501.0,12,2013-05-28
United Koreans in Japan,1500.99,12,2018-06-09
Canary Islands,1500.94,4,2007-12-29
Papua New Guinea,1500.66,155,2025-11-23
Catalonia,1500.62,48,2019-03-25
Délvidék,1500.59,2,2016-08-03
Peru,1500.43,714,2026-06-08
Saint Barthélemy,1500.19,10,2023-03-10
Silesia,1500.14,8,2006-12-09
Crimea,1500.1,5,2006-11-25
Gabon,1500.09,405,2026-03-30
Saugeais,1499.89,1,2013-06-29
Gotland,1499.76,30,2017-06-29
Central Spain,1499.66,2,1923-11-25
Madrid,1499.34,1,2013-06-07
Seborga,1499.33,1,2014-08-10
Mayotte,1499.33,38,2023-08-26
Cilento,1499.32,1,2011-12-29
Republic of St. Pauli,1499.29,4,2006-06-03
Felvidék,1499.2,12,2017-06-09
Sealand,1499.13,12,2014-08-10
Luhansk PR,1498.79,6,2019-12-08
South Ossetia,1498.27,17,2019-12-08
Ryūkyū,1497.5,1,2016-11-26
Chechnya,1496.97,3,2006-02-18
Găgăuzia,1496.93,3,2006-11-21
Matabeleland,1496.9,8,2022-05-25
South Yemen,1496.79,3,1982-11-25
Palau,1496.75,2,1998-08-01
Manchukuo,1496.28,3,1942-08-09
Saint Martin,1496.26,68,2026-03-29
Somaliland,1496.2,6,2019-05-04
North Vietnam,1496.2,24,1970-09-20
Menorca,1495.87,25,2023-07-13
Romani people,1495.82,7,2016-05-16
Monaco,1495.45,24,2017-04-29
Provence,1495.44,23,2013-06-28
Niger,1495.41,260,2026-06-08
West Papua,1494.94,2,2022-11-13
Niue,1494.72,2,1983-08-22
Western Sahara,1494.47,9,2013-06-28
Saarland,1494.36,9,1956-06-06
Gozo,1494.01,14,2025-07-17
Western Australia,1493.62,32,1980-11-25
Ambazonia,1493.6,6,2007-06-07
Yoruba Nation,1493.31,2,2022-05-23
Hitra,1492.97,23,2025-07-17
Kabylia,1492.6,6,2018-06-09
North Korea,1492.56,390,2025-06-10
Togo,1490.97,447,2026-06-09
Galicia,1490.48,12,2024-05-21
Vatican City,1490.4,8,2022-04-22
Micronesia,1490.33,7,2003-07-07
Bolivia,1490.2,534,2026-06-10
Sark,1488.68,4,2003-07-03
Albania,1488.56,398,2026-06-06
Bahrain,1488.36,584,2026-06-05
North Macedonia,1487.54,306,2026-06-01
Puerto Rico,1487.42,163,2026-06-05
Sápmi,1487.21,29,2023-07-16
Saint Pierre and Miquelon,1485.05,7,2012-09-28
Yemen DPR,1484.93,25,1989-11-05
Western Isles,1484.43,34,2025-07-17
Aymara,1483.53,2,2022-06-19
Darfur,1482.91,7,2014-06-07
Belarus,1482.16,315,2026-06-09
Hmong,1480.39,3,2023-08-08
Kenya,1480.08,706,2026-06-04
East Turkestan,1479.65,5,2025-07-04
Wallis Islands and Futuna,1479.29,24,1995-08-20
Kiribati,1479.14,11,2011-09-05
Saare County,1478.57,35,2017-06-29
Zanzibar,1477.95,209,2025-01-13
Yemen,1477.78,266,2025-11-26
Turkmenistan,1476.94,175,2025-11-18
French Guiana,1476.38,179,2024-11-19
Barawa,1475.71,12,2019-05-25
Nicaragua,1475.35,222,2026-06-05
Chagos Islands,1474.92,16,2019-12-29
Vanuatu,1473.5,214,2026-06-06
Zimbabwe,1472.49,496,2026-05-30
Kuwait,1471.53,684,2026-06-05
Sierra Leone,1471.23,301,2026-06-09
Mozambique,1470.82,375,2026-06-09
Sint Maarten,1469.94,60,2026-03-30
Greenland,1469.63,77,2024-06-01
Åland Islands,1467.43,51,2023-07-13
El Salvador,1467.13,614,2026-06-06
Iceland,1467.03,522,2026-06-09
Saint Vincent and the Grenadines,1466.14,236,2026-03-29
Comoros,1465.16,151,2026-06-09
Trinidad and Tobago,1464.6,753,2026-06-09
Two Sicilies,1463.92,6,2023-07-02
Rwanda,1463.88,280,2026-03-30
Cuba,1463.7,397,2026-03-29
Kyrgyzstan,1463.6,191,2026-06-09
Ticino,1462.72,2,2023-08-06
Hong Kong,1457.07,447,2026-06-09
Eritrea,1455.52,71,2019-09-10
Martinique,1447.04,331,2026-03-29
Finland,1444.13,818,2026-06-05
Liberia,1443.94,302,2026-06-09
Sudan,1441.89,469,2026-01-03
Tuvalu,1440.28,39,2023-11-30
Bulgaria,1435.98,736,2026-06-05
Malawi,1433.5,644,2026-06-09
Singapore,1432.75,696,2026-06-05
Falkland Islands,1431.12,33,2023-07-13
Marshall Islands,1430.02,2,2025-08-16
Fiji,1429.92,268,2026-06-06
Saint Helena,1429.42,8,2023-07-13
Northern Mariana Islands,1426.72,30,2024-04-07
Mauritania,1426.02,273,2026-06-08
Samoa,1424.51,71,2024-11-18
Lesotho,1420.96,296,2026-06-04
Equatorial Guinea,1415.5,179,2026-06-09
Ethiopia,1414.25,409,2026-06-09
Kazakhstan,1412.54,269,2026-06-09
Tibet,1411.06,21,2025-07-03
Aruba,1408.54,152,2026-06-06
Tanzania,1407.71,599,2026-03-29
Montenegro,1400.68,170,2026-06-05
Faroe Islands,1400.53,287,2026-06-09
Belize,1398.43,121,2026-03-30
Bermuda,1395.11,198,2026-06-06
Namibia,1393.94,279,2026-03-28
Burundi,1393.06,218,2026-05-26
Saint Kitts and Nevis,1391.76,226,2026-03-30
Tonga,1389.0,68,2024-09-09
Botswana,1380.14,332,2026-03-31
Cook Islands,1379.07,53,2024-09-06
Guinea-Bissau,1378.13,190,2026-03-31
Grenada,1374.55,260,2026-05-16
Frøya,1367.79,37,2025-07-17
Pakistan,1367.74,251,2026-06-10
Central African Republic,1367.21,138,2026-06-09
Montserrat,1366.15,66,2025-06-10
Solomon Islands,1362.92,214,2026-03-30
Congo,1361.52,406,2025-10-14
Eswatini,1358.71,274,2025-10-13
Alderney,1356.99,135,2022-04-23
Cambodia,1355.75,295,2026-06-09
Estonia,1346.86,550,2026-06-09
Bangladesh,1346.44,305,2026-06-05
Dominica,1346.3,215,2026-03-30
South Sudan,1341.34,78,2025-11-25
Bonaire,1338.72,44,2026-06-06
British Virgin Islands,1337.7,123,2026-06-06
India,1337.33,534,2026-06-09
Myanmar,1336.96,512,2026-06-09
United States Virgin Islands,1333.09,78,2026-03-28
Mauritius,1328.99,325,2025-10-13
Turks and Caicos Islands,1326.22,52,2025-08-16
Saint Lucia,1321.19,230,2026-03-27
São Tomé and Príncipe,1316.24,71,2025-10-13
Cyprus,1315.32,426,2026-06-07
Afghanistan,1313.2,147,2026-06-10
Somalia,1313.14,124,2025-11-26
Luxembourg,1312.45,467,2026-06-06
Sri Lanka,1311.02,251,2025-11-18
Malta,1310.32,458,2026-06-05
Azerbaijan,1307.3,310,2026-06-09
Barbados,1303.53,302,2026-03-29
Armenia,1303.36,272,2026-06-09
Nepal,1302.53,268,2025-11-18
Chad,1301.01,138,2025-11-17
Guam,1299.03,123,2026-06-06
Mongolia,1287.44,103,2026-06-05
Latvia,1283.77,461,2026-06-09
Antigua and Barbuda,1275.82,231,2025-11-18
Taiwan,1273.86,245,2025-11-18
Cayman Islands,1267.47,120,2026-06-06
American Samoa,1266.42,55,2026-03-28
Lithuania,1263.65,433,2026-06-09
Timor-Leste,1256.67,86,2025-11-18
Gibraltar,1253.2,160,2026-06-06
Djibouti,1250.87,111,2025-11-26
Brunei,1249.99,137,2025-11-18
Laos,1247.38,224,2025-11-19
Moldova,1245.8,299,2026-06-09
Macau,1231.63,148,2026-03-29
Maldives,1226.19,233,2026-06-01
Bhutan,1226.01,110,2026-06-04
Anguilla,1222.4,91,2026-03-29
Seychelles,1193.51,176,2025-10-14
Bahamas,1186.06,67,2026-03-29
Andorra,1184.98,229,2026-06-07
Liechtenstein,1074.83,259,2026-06-07
San Marino,1052.64,225,2026-06-09
