team,player,position,status,severity,note
Brazil,Neymar,Left Winger,out,0.55,"ESPN tracker/match preview 2026-06-11: right calf strain, ruled out of opener vs Morocco; may return later in group"
Brazil,Wesley,Right-Back,out,0.45,"FOX/ESPN 2026-06-07: left thigh muscle injury, replaced on roster by Eder Silva"
Brazil,Eder Militao,Centre-Back,out,0.65,"ESPN tracker 2026-06: hamstring tear requiring surgery, out of tournament"
Brazil,Rodrygo,Winger,out,0.6,"ESPN/Goal 2026: torn ACL+meniscus (March), out for 2026"
Brazil,Estevao,Winger,out,0.5,"ESPN tracker 2026: torn hamstring, ruled out of tournament"
Morocco,Nayef Aguerd,Centre-Back,out,0.75,ESPN match preview 2026-06-11: ruled out of tournament (injury)
Morocco,Abde Ezzalzouli,Winger,out,0.6,"ESPN/Flashscore 2026-06: knee injury, ruled out of tournament"
Morocco,Noussair Mazraoui,Right-Back,doubtful,0.45,"ESPN match preview 2026-06-11: shoulder injury in recent friendly, doubtful for opener"
Morocco,Anass Salah-Eddine,Left-Back,doubtful,0.3,ESPN match preview 2026-06-11: injury doubt for opener
Morocco,Chemsdine Talbi,Winger,doubtful,0.3,ESPN match preview 2026-06-11: injury doubt for opener
Netherlands,Jurrien Timber,Centre-Back,out,0.6,"ESPN tracker 2026: groin strain, ruled out"
Netherlands,Xavi Simons,Attacking Midfield,out,0.7,"ESPN/Goal 2026: torn ACL (April, at Tottenham), out"
Netherlands,Jerdy Schouten,Defensive Midfield,out,0.5,"ESPN tracker 2026: torn ACL, ruled out"
Netherlands,Matthijs de Ligt,Centre-Back,out,0.7,"ESPN/Goal 2026: back injury requiring surgery, ruled out"
Japan,Kaoru Mitoma,Left Winger,out,0.7,"ESPN/Goal 2026: torn hamstring, ruled out"
Japan,Takumi Minamino,Forward,out,0.55,"ESPN/Goal 2026: torn ACL (December), ruled out"
Japan,Wataru Endo,Defensive Midfield,doubtful,0.35,"ESPN tracker 2026: ruptured ankle ligaments, back on grass hoping to play"
Germany,Serge Gnabry,Right Winger,out,0.55,"ESPN/Goal 2026: torn adductor (April), ruled out"
Germany,Marc-Andre ter Stegen,Goalkeeper,out,0.45,"ESPN tracker 2026: torn thigh muscle, ruled out"
Germany,Lennart Karl,Attacking Midfield,out,0.3,"ESPN tracker 2026: torn thigh muscle, ruled out"
USA,Johnny Cardoso,Defensive Midfield,out,0.55,"ESPN/Goal 2026: high-grade ankle sprain / surgery (May), ruled out"
USA,Patrick Agyemang,Forward,out,0.4,"ESPN/Goal 2026: torn Achilles (April), ruled out"
USA,Chris Richards,Centre-Back,doubtful,0.3,"ESPN/Covers 2026: torn ankle ligaments, expected match-fit soon"
Paraguay,Julio Enciso,Attacking Midfield,doubtful,0.5,"Yahoo/Covers 2026-06: thigh injury, likely to miss opener vs USA, may feature later in group"
Scotland,Billy Gilmour,Central Midfield,out,0.55,"ESPN/Goal 2026: knee injury, ruled out of tournament"
Australia,Lewis Miller,Right-Back,out,0.4,"ESPN tracker 2026: torn Achilles, ruled out"
Australia,Aiden O'Neill,Central Midfield,doubtful,0.35,"ESPN tracker 2026: ankle injury, status unclear"
Australia,Patrick Yazbek,Central Midfield,doubtful,0.3,"ESPN tracker 2026: quad injury, World Cup participation in doubt"
Turkey,Arda Guler,Attacking Midfield,doubtful,0.25,"Daily Sabah/Turkiye Today 2026-06-08: pulled hamstring but back in open training, on track / expected fit"
Ivory Coast,Clement Akpa,Defender,out,0.3,"Wikipedia WC2026 squads 2026-05-29: withdrew injured, replaced by Christopher Operi"
Canada,Marcelo Flores,Winger,out,0.35,"Wikipedia/ESPN 2026: torn ACL, withdrew (May 31), replaced by Jayden Nelson"
Canada,Alphonso Davies,Left-Back,doubtful,0.5,"ESPN/Covers 2026-06: hamstring + prior ACL recovery, day-by-day, questionable for group stage"
South Korea,Cho Yu-min,Centre-Back,out,0.3,"Wikipedia WC2026 squads 2026-05-31: withdrew injured, replaced by Cho Wi-je"
Bosnia & Herzegovina,Osman Hadzikic,Goalkeeper,out,0.2,"Wikipedia WC2026 squads 2026-06-01: withdrew injured, replaced by Mladen Jurkas"
Bosnia & Herzegovina,Nidal Celik,Midfielder,out,0.2,"Wikipedia WC2026 squads 2026-06-11: withdrew injured, replaced by Arjan Malic"
France,Hugo Ekitike,Forward,out,0.35,"ESPN/Goal 2026: ruptured Achilles (April), out for 2026"
France,William Saliba,Centre-Back,doubtful,0.2,ESPN/Covers 2026: back injury but cleared / expected to play
Spain,Fermin Lopez,Central Midfield,out,0.4,"ESPN/Goal 2026: metatarsal fracture requiring surgery, ruled out"
Spain,Lamine Yamal,Right Winger,doubtful,0.3,"ESPN/Covers 2026: partially torn hamstring, expected fit for Jun 15 opener"
Spain,Mikel Merino,Central Midfield,doubtful,0.35,"ESPN tracker 2026: stress fracture in foot, racing to recover"
Argentina,Cristian Romero,Centre-Back,doubtful,0.4,"ESPN/Covers 2026: partially torn MCL; ESPN 'in jeopardy', Covers 'expected to play' — uncertain"
Argentina,Nahuel Molina,Right-Back,doubtful,0.3,"ESPN tracker 2026: thigh muscle injury, out ~2-3 weeks from May"
Argentina,Lionel Messi,Forward,doubtful,0.25,"ESPN/Covers 2026: thigh/hamstring overload, resuming training, expected to play"
Uruguay,Jose Gimenez,Centre-Back,doubtful,0.4,"ESPN/Covers 2026: severe/high ankle sprain, participation uncertain"
Croatia,Luka Modric,Central Midfield,doubtful,0.35,"ESPN tracker 2026: fractured cheekbone, confidence he heals in time"
England,Tino Livramento,Right-Back,out,0.3,"ESPN tracker 2026: thigh injury, season-ending"
England,Reece James,Right-Back,doubtful,0.3,"ESPN tracker 2026: pulled hamstring, has chance if remains fit"
Ghana,Mohammed Kudus,Attacking Midfield,doubtful,0.45,"ESPN tracker 2026: hamstring setback, participation in doubt"
Algeria,Luca Zidane,Goalkeeper,doubtful,0.3,"ESPN tracker 2026: fractured jaw and chin, expected ~3 weeks out post-surgery"
Mexico,Luis Angel Malagon,Goalkeeper,out,0.35,"Goal 2026: ruptured Achilles tendon, ruled out"
Austria,Christoph Baumgartner,Attacking Midfield,out,0.45,"Goal 2026: torn thigh muscle requiring surgery, ruled out"
